code,name,old_stock_table,from_movements,diff
PA30542,مسمارخشب رقم 6 (100غ),7,607.000,600.000
ALVM50206,سيفون حوض الوجه كلك,289,-64.000,-353.000
SI10176,سلكون  280 غرام شفاف,33,-199.000,-232.000
PE30376,جبس العز 1كغ,-261,-449.000,-188.000
PLSA0129,"مطول ""1/2 * 25 مم كروم",144,297.000,153.000
99999,ملحقات مواد صحية,-18,-165.000,-147.000
PA30046,كيس فارغ أبيض,1044,1180.000,136.000
RA20582,"مخفض قومه 1.5"" * 1.25",66,187.000,121.000
RS40309,بلاط ارضيات بورسلين 60 سم * 60 سم (1.08  م²),0,102.000,102.000
PA30537,"اسطافة 3/4"" (2 قطع)",189,285.000,96.000
PA30514,رنديلة (50 غ),34,116.000,82.000
PLSA0241,مطول  15 مم كروم,89,169.000,80.000
ACE20242,مثبت سخانة,74,153.000,79.000
PE30375,جبس العز 40كغ,42,115.000,73.000
PA30313,"اسطافة 1.5"" (2 قطع)",124,192.000,68.000
WP20161,مقعد أرضي ملحوم رصاصي رخامي,12,69.000,57.000
WP20159,مقعد أرضي ملحوم سداسي أبيض,1,56.000,55.000
AASB30014,رف زاوية زوجي كروم,60,114.000,54.000
PLSA0550,وردة كروم  1/2,42,92.000,50.000
ALVM50240,مثبت حوض الوجه,73,118.000,45.000
PLSA0130,مطول 1/2*20 مم كروم,16,57.000,41.000
RFP1432,"فسيبلي خلاط (2طرف) ""1/2 أنثى 50سم",11,47.000,36.000
ELC1473,سلك كهرباء 1 *2.5 مم²,0,-36.000,-36.000
MC10012,سرفنتينة 15 سم * 15 سم كروم ,12,46.000,34.000
PE30036,استوك 18 كغ,-1,32.000,33.000
PE30094,ورق سنفرة قماش رقم 180,25,-7.000,-32.000
ML30603,مرايا حمام مع إضاءة لد مع اطار ذهبي 90*70 سم,15,45.000,30.000
PA30540,"اسطافة 4"" (2 قطع)",56,86.000,30.000
PLSA0814,"وصلة مخفض خلاط دوش ""3/8 ذكر × ""1/2 ذكر كروم",23,53.000,30.000
ARSB80396,قصبة دوش دائري 30 سم كروم,14,44.000,30.000
ARSB80370,سماعة دوش كروم,17,45.000,28.000
PA30539,"اسطافة 3"" (2 قطع)",48,75.000,27.000
PE30377,اسمنت ابيض 1كغ,-264,-290.000,-26.000
ELC1472,سلك كهرباء 1 *2.5 مم²,0,-26.000,-26.000
RA20085, طوبو4''(1) متر,1,-25.000,-26.000
VS10597,حوض وجه معلق أبيض -60سم,2,26.000,24.000
APCI40229,مطول 1/2 *10 مم كروم,20,43.000,23.000
RFP1420,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 30سم",10,32.000,22.000
ARSB80184,رشاش دوش كروم,29,50.000,21.000
PE30077,بونتة ترابنو (1 قطع),115,94.000,-21.000
ALVM50032,سيفون حوض الوجه كروم,0,21.000,21.000
ARSB80640,"مسكر شطافة ""1/2"" * ""1/2 كروم",-5,-25.000,-20.000
ALVM50819,رأس سيفوني اسود,22,2.000,-20.000
RA30015,"كوربة 2"" - 90°",31,51.000,20.000
AASB30341,حاملة منظفات زوجي كروم,1,20.000,19.000
RFP1754,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 50سم",17,36.000,19.000
PLSA0233,"نبلس ""1/2 * ""3/8 كروم",12,31.000,19.000
PE30193,لصقة طلاء 45 مم,209,228.000,19.000
ARSB80037,سماعة دوش مع طوبو ذهبي,12,30.000,18.000
PLSA0664,وردة كروم,-2,14.000,16.000
ARSB80106,مصب دوش قصير بدون تحويلة كروم,7,23.000,16.000
PE30032,استوك 20 كغ,23,7.000,-16.000
ARSB80004,مخرج شطاف كروم بالعلاقة ,11,27.000,16.000
PA30538,"اسطافة 1"" (2 قطع)",14,-1.000,-15.000
 ,Indéfini,0,15.000,15.000
RA20084, طوبو3''(1) متر,-4,-19.000,-15.000
RFP1217,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 60سم",9,24.000,15.000
MC10455,مجرى 50 سم *8 سم مشبكة كروم,11,26.000,15.000
RA30082,طوبو1.5'' (1 متر),6,-8.000,-14.000
WS10163,مقعد معلق رايملس أبيض ,1,15.000,14.000
RFP1750,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 30سم سميك",9,23.000,14.000
ARSB80099,مصب دوش مع تحويلة ذهبي,5,18.000,13.000
ALVM50307,سيفون حوض الوجه كروم,20,33.000,13.000
RFP1429,"فسيبلي "" 1/2 ذكر * ""1/2 أنثى 40سم",6,19.000,13.000
FAB0176,طلاء وجه خلاط دوش,-8,-21.000,-13.000
ARSB80171,سماعة دوش مع طوبو كروم,3,16.000,13.000
FAB0175,طلاء وجه خلاط شطافة,-10,-22.000,-12.000
PLSA0131,"مطول ""1/2* 30 مم كروم",92,104.000,12.000
PS20665,علاقة مناشف زوجية كروم,20,32.000,12.000
WP20158,مقعد أرضي ملحوم طويل أبيض,0,12.000,12.000
RA30004, طوبو4'' 6 متر,7,19.000,12.000
ARSB80341,مصب دوش بدون تحويلة كروم,0,12.000,12.000
RFP1424,"فسيبلي "" 1/2 أنثى * ""1/2 أنثى 40سم",6,18.000,12.000
CE10265,سخانة 80 لتر,2,14.000,12.000
ML10060,خلاط حوض وجه أسود ,0,11.000,11.000
MC10002,مجرى 50 سم *8 سم كروم,18,29.000,11.000
ARSB80246,مصب دوش شلال بدون تحويلة كروم,11,22.000,11.000
PLSA0415,وردة أسود 1/2,10,20.000,10.000
LG40187, حوض وجه برسلين مشطوف 80 سم ,2,12.000,10.000
ARSB80169,سماعة دوش مع طوبو ذهبي,0,10.000,10.000
EG40184,رف حوض وجه برسلين 80 سم,1,11.000,10.000
WS10168,مقعد معلق رايملس أسود,9,19.000,10.000
RA20083, طوبو2''(1) متر,-1,-11.000,-10.000
ARSB80045,مخرج شطاف مع علاق كروم,0,-10.000,-10.000
