id,proforma_no,proforma_date,location_name,customer_id,customer_name,customer_phone,subtotal,discount,total,status,notes,old_id
15928a7a-44de-e28b-0083-9e0d31bdff70,DEVIS0009,2024-08-08,فرع السراج,0467115e-e564-fff0-f85e-32660631c14f,,,400.000,0.000,400.000,draft,old_id=310000108,310000108
373c83a5-c16a-cb61-fa89-78cc2da8a80b,DEVIS0008,2024-07-31,فرع السراج,8911560c-3a28-c0f5-2c96-f48177d34007,,,1880.000,0.000,1880.000,draft,old_id=210000108,210000108
3754219d-15ff-84ba-4c85-29d7ae5e70a1,ف ع1,2024-09-03,فرع السراج,88d2e588-1f26-35f6-f203-ba242aacc730,,,681.000,1.000,680.000,draft,old_id=210000111,210000111
87a1c713-bc79-3405-d19c-6e2031c5f984,1,2024-09-03,فرع السراج,88d2e588-1f26-35f6-f203-ba242aacc730,,,240.000,0.000,240.000,draft,old_id=210000110,210000110
12deaaec-af73-b633-697e-873058c795ba,12,2024-09-23,فرع السراج,88d2e588-1f26-35f6-f203-ba242aacc730,,,23087.700,0.000,23087.700,draft,old_id=210000113,210000113
ce08ee5c-bd75-2f6e-9acf-e81230439172,DEVIS0010,2024-08-08,فرع السراج,3da22fa8-817b-d30b-e72a-7787f4aef7c8,,,50.000,0.000,50.000,draft,old_id=210000109,210000109
90cb4cc1-e32f-4570-9adc-40e677d75358,2,2024-09-07,فرع السراج,20a0f8f4-0473-cc74-c301-bed373263ae8,,,13775.000,0.000,13775.000,draft,old_id=210000112,210000112
361f0944-8a01-9b80-6565-83fed8692ab4,سعر :0008 -ين,2026-02-04,فرع السراج,778434cf-113c-daa8-9859-6149eebf1e52,,,11392.000,0.000,11392.000,draft,old_id=310000116,310000116
b1c4b9bc-bb97-a670-854c-1acbc4a82361,سعر :0002 -ين,2025-01-05,فرع السراج,88d2e588-1f26-35f6-f203-ba242aacc730,,,2598.000,0.000,2598.000,draft,old_id=310000110,310000110
223ea701-4eda-ecd2-c3b8-429bd7fcd6c9,52456,2024-10-10,فرع السراج,88d2e588-1f26-35f6-f203-ba242aacc730,,,2209.100,9.100,2200.000,draft,old_id=310000109,310000109
aadd931f-08ec-f3a7-5916-274a4194f4eb,سعر :0003 -ين,2025-01-25,فرع السراج,8491f814-8bae-92b4-ac5f-60cc6b51fede,,,9450.000,0.000,9450.000,draft,old_id=310000111,310000111
aefad67c-02db-ff0d-8b22-b5001f9a54ce,سعر :0004 -ين,2025-02-27,فرع السراج,88d2e588-1f26-35f6-f203-ba242aacc730,,,190950.000,0.000,190950.000,draft,old_id=310000112,310000112
42b879cf-0835-c715-c4ed-dc03c5e87243,سعر :0005 -ين,2025-03-12,فرع السراج,0ac753ed-a8a8-ac74-cd93-31f49d68623e,,,11805.000,0.000,11805.000,draft,old_id=310000113,310000113
d1f60bc2-1e73-3872-da6a-7e66c4a37808,سعر :0006 -ين,2025-05-05,فرع السراج,4a720260-4910-a128-a979-6ae3b4a6fa52,,,12382.000,2.000,12380.000,draft,old_id=310000114,310000114
ce429a4e-df50-e876-e591-cf2774066000,سعر :0007 -ين,2025-09-13,فرع السراج,0e5f210a-94b4-fcd6-198b-925bda0c8d3a,,,15590.000,0.000,15590.000,draft,old_id=310000115,310000115
