code,name,brand,model,category,supplier_id,purchase_price,retail_price,active,barcode,old_id
EL50394,لصقة 0.13 مم * 19 مم * 25 متر,الشركة العالمية للتصدير و الإستيراد,SCAPA 2702,ملحقات الكهرباء,4db58ef5-0e02-ae07-fc14-5629c40b7689,4.750,10.000,t,,210003905
ME10005,خلاط حوض المطبخ تحلية شجرة كروم,سانيتاري ويرز,,خلاط حوض المطبخ شجرة,ac78bb51-d153-70a3-ad89-bdb50a8537eb,185.000,330.000,t,,210002733
ML30493,مرايا حمام مع إضاءة لد 100*80 سم,سانيتاري ويرز,SYC018,مراية مضيئة,9a9f39af-a0d0-6a64-969d-7baa03e28c4f,175.000,280.000,t,,210005024
ML10781,خلاط حوض وجه كروم,سانيتاري ويرز,OM-05,خلاط حوض وجه,b254c840-e3dc-aa50-45cc-22c1a82f1d9d,92.500,170.000,t,,310004122
PA30474,دباسة يدوية,فندر,195056,دباسة,4db58ef5-0e02-ae07-fc14-5629c40b7689,20.500,35.000,t,,210003990
ARSB80283,كسكاس دوش دائري 250 مم كروم,سانيتاري ويرز,MMAAT LSH-RND-250,كسكاس دوش,f68c4a72-8eb2-7563-07ad-b344ff9fe960,65.000,130.000,t,,310002844
ML10055,خلاط حوض وجه مضيء كروم,ليفرنو هوم,,خلاط حوض وجه,081276dc-6952-a613-dc62-614b51522ad0,115.000,210.000,t,,210002639
ML10895,خلاط حوض وجه أسود لامع,بن أمور,B.AMOR003,خلاط حوض وجه,f3749abe-ab61-138e-bb47-655f16ecc625,220.000,350.000,t,,310004349
ARSB80477,طوبو دوش 150سم كروم,ليفرنو هوم,,طوبو دوش,f68c4a72-8eb2-7563-07ad-b344ff9fe960,20.000,50.000,t,,210003251
WA40774,غطاء مقعد أبيض,GALASSIA,5478,غطاء مقعد,f68c4a72-8eb2-7563-07ad-b344ff9fe960,120.000,200.000,t,,310003395
ARSB80390,مصب دوش بدون تحويلة أسود,بريمكس,J007X,مصب دوش,0dafba13-51f2-fc5a-eab7-f16d55bcce40,60.000,130.000,t,,310002851
ARSB80339,"مسكر شطافة ""1/2"" * ""1/2 كروم",فينوس,,مخرج شطاف,0dafba13-51f2-fc5a-eab7-f16d55bcce40,26.000,60.000,t,,210003083
RA30025,"جرجوري4""",الرطيل,جي أم GM,كوع - كوربة,4db58ef5-0e02-ae07-fc14-5629c40b7689,17.000,25.000,t,,210003423
ARSB80467,شطاف ظغط مربع مع طوبو أسود,توريما,1372-03330-009,شطاف,3f8e1d44-c2e4-cecd-ff29-48dc418eba21,265.000,400.000,t,,210004988
P30111,بدل كورة,ماتاكس,PS06-1A,مضخة,4db58ef5-0e02-ae07-fc14-5629c40b7689,89.000,140.000,t,,210003599
AECU50057,صابونية حوض مطبخ أسود,سانيتاري ويرز,,ملحقات أحواض المطابخ,0dafba13-51f2-fc5a-eab7-f16d55bcce40,11.000,35.000,t,,210003511
