location_name,product_code,product_name,qty
فرع 11 يونيو,99999,ملحقات مواد صحية,-94.000
فرع 11 يونيو,AASB30003,موزع صابون كروم,4.000
فرع 11 يونيو,AASB30004,موزع صابون ابيض,5.000
فرع 11 يونيو,AASB30005,موزع صابون كروم,1.000
فرع 11 يونيو,AASB30006,موزع صابون كروم,-2.000
فرع 11 يونيو,AASB30008,موزع صابون سائل خزف,-1.000
فرع 11 يونيو,AASB30010,صابونية كروم,3.000
فرع 11 يونيو,AASB30012,رف زاوية كروم,-1.000
فرع 11 يونيو,AASB30014,رف زاوية زوجي كروم,10.000
فرع 11 يونيو,AASB30021,رف زاوية كروم,-1.000
فرع 11 يونيو,AASB30025,رف زاوية زوجي كروم,1.000
فرع 11 يونيو,AASB30026,رف زاوية زوجي كروم,3.000
فرع 11 يونيو,AASB30027,رف ستاينلس ستيل أسود,1.000
فرع 11 يونيو,AASB30029,رف ستاينلس ستيل أسود,3.000
فرع 11 يونيو,AASB30030,رف ستاينلس ستيل كروم,6.000
فرع 11 يونيو,AASB30031,صابونية كروم,3.000
فرع 11 يونيو,AASB30032,موزع صابون سائل كروم,1.000
فرع 11 يونيو,AASB30042,موزع ورق منظف كلينكس أبيض,1.000
فرع 11 يونيو,AASB30043,رف زجاجي كروم,7.000
فرع 11 يونيو,AASB30044,رف زجاجي كروم,6.000
فرع 11 يونيو,AASB30045,رف زجاجي كروم,6.000
فرع 11 يونيو,AASB30047,موزع ورق منظف كلينكس أسود,1.000
فرع 11 يونيو,AASB30048,صابونية كروم,4.000
فرع 11 يونيو,AASB30049,موزع صابون سائل كروم,5.000
فرع 11 يونيو,AASB30051,موزع صابون سائل كروم,3.000
فرع 11 يونيو,AASB30054,حاملة منظفات كروم,1.000
فرع 11 يونيو,AASB30055,حاملة فرشاة أسنان زجاجي,3.000
فرع 11 يونيو,AASB30056,صابونية كروم,4.000
فرع 11 يونيو,AASB30057,صابونية زجاجي,4.000
فرع 11 يونيو,AASB30058,صابونية ذهبي,1.000
فرع 11 يونيو,AASB30059,حاملة فرشاة أسنان كروم,4.000
فرع 11 يونيو,AASB30060,صابونية ذهبي,3.000
فرع 11 يونيو,AASB30061,حاملة فرشاة أسنان ذهبي,1.000
فرع 11 يونيو,AASB30062,صابونية كروم,7.000
فرع 11 يونيو,AASB30064,حاملة فرشاة أسنان كروم,-1.000
فرع 11 يونيو,AASB30065,رف زاوية كروم,25.000
فرع 11 يونيو,AASB30066,رف زاوية كروم,15.000
فرع 11 يونيو,AASB30067,حاملة ورق ناعم كروم,4.000
فرع 11 يونيو,AASB30069,موزع صابون سائل كروم,2.000
فرع 11 يونيو,AASB30074,مجفف يد أبيض,1.000
فرع 11 يونيو,AASB30079,صابونية أسود,4.000
فرع 11 يونيو,AASB30080,حاملة فرشاة أسنان أسود,4.000
فرع 11 يونيو,AASB30083,موزع صابون سائل خزف,1.000
فرع 11 يونيو,AASB30084,مقبض قابل للطي مضاد للانزلاق لكبار السن,6.000
فرع 11 يونيو,AASB30088,صابونية كروم,1.000
فرع 11 يونيو,AASB30090,حاملة ورق ناعم كروم,2.000
فرع 11 يونيو,AASB30094,حامل منضفات كروم,1.000
فرع 11 يونيو,AASB30095,رف زاوية زوجي كروم,1.000
فرع 11 يونيو,AASB30096,رف زاوية ثلاثي كروم,2.000
فرع 11 يونيو,AASB30100,موزع صابون أسود,2.000
فرع 11 يونيو,AASB30103,موزع صابون ابيض,1.000
فرع 11 يونيو,AASB30104,موزع صابون حساس ابيض,1.000
فرع 11 يونيو,AASB30105,موزع صابون حساس ابيض,1.000
فرع 11 يونيو,AASB30106,موزع صابون حساس ابيض,1.000
فرع 11 يونيو,AASB30107,موزع صابون حساس كروم,1.000
فرع 11 يونيو,AASB30114,رف زاوية زوجي كروم,-1.000
فرع 11 يونيو,AASB30115,حاملة منظفات زوجي كروم,1.000
فرع 11 يونيو,AASB30119,حاملة منظفات زوجي كروم,1.000
فرع 11 يونيو,AASB30140,حاملة ورق ناعم زوجية كروم,2.000
فرع 11 يونيو,AASB30141,حاملة فوط كروم,3.000
فرع 11 يونيو,AASB30144,حاملة فوط أسود,2.000
فرع 11 يونيو,AASB30148,حاملة فوط أسود,3.000
فرع 11 يونيو,AASB30149,حاملة فوط كروم,2.000
فرع 11 يونيو,AASB30157,حاملة فوط أسود,2.000
فرع 11 يونيو,AASB30164,حاملة فرشاة أسنان,4.000
فرع 11 يونيو,AASB30166,رف زاوية  اسود,1.000
فرع 11 يونيو,AASB30167,حاملة فوط أسود,1.000
فرع 11 يونيو,AASB30169,حاملة منظفات زوجي كروم,2.000
فرع 11 يونيو,AASB30176,حاملة فوط أسود,-1.000
فرع 11 يونيو,AASB30180,أرضية دوش,2.000
فرع 11 يونيو,AASB30195,حاملة منظفات كروم,1.000
فرع 11 يونيو,AASB30197,موزع صابون حساس كروم,6.000
فرع 11 يونيو,AASB30198,صابون سائل,11.000
فرع 11 يونيو,AASB30199,رف زجاجي كروم,1.000
فرع 11 يونيو,AASB30200,أرضية دوش 54×54 سم,1.000
فرع 11 يونيو,AASB30202,أرضية دوش 71×36 سم,2.000
فرع 11 يونيو,AASB30203,أرضية دوش 71×36 سم,2.000
فرع 11 يونيو,AASB30215,حاملة ورق ناعم أسود,1.000
فرع 11 يونيو,AASB30222,سلة قمامة,6.000
فرع 11 يونيو,AASB30223,رف زاوية كروم,1.000
فرع 11 يونيو,AASB30303,صابونية كروم,1.000
فرع 11 يونيو,AASB30304,حاملة ورق ناعم كلينكس رخامي,2.000
فرع 11 يونيو,AASB30306,حامل ورق منظف كلينكس,-2.000
فرع 11 يونيو,AASB30310,صابونية كروم حساس,5.000
فرع 11 يونيو,AASB30311,مجفف شعر أبيض,9.000
فرع 11 يونيو,AASB30341,حاملة منظفات زوجي كروم,18.000
فرع 11 يونيو,AASB30343,فرشاة مرحاض كروم,-1.000
فرع 11 يونيو,AASB30344,فرشاة تنظيف مرحاض كروم,-2.000
فرع 11 يونيو,AASB30346,فرشة مرحاض كروم,-2.000
فرع 11 يونيو,AASB30401,حاملة ورق منظف كلينكس,5.000
فرع 11 يونيو,AASB30406,صابونية كروم,2.000
فرع 11 يونيو,AASB30407,حاملة فوط كروم,1.000
فرع 11 يونيو,AASB30473,رف زاوية ثلاثي كروم,5.000
فرع 11 يونيو,AASB30485,مجفف شعر أسود,6.000
فرع 11 يونيو,AASB30511,فرشاة تنظيف مرحاض رصاصي,1.000
فرع 11 يونيو,AASB30513,موزع صابون سائل كروم,1.000
فرع 11 يونيو,AASB30515,حاملة ورق ناعم كروم,2.000
فرع 11 يونيو,AASB30634,صابونية أسود,9.000
فرع 11 يونيو,AASB30635,حاملة فرشاة أسنان زوجية أسود,10.000
فرع 11 يونيو,AASB30638,صابونية أسود,5.000
فرع 11 يونيو,AASB30668,رف زاوية زوجي اسود,2.000
فرع 11 يونيو,AASB30669,مسند لكبار السن أبيض,2.000
فرع 11 يونيو,AASB30670,مسند لكبار السن كروم,4.000
فرع 11 يونيو,AASB30671,فرشاة تنظيف مرحاض كروم,18.000
فرع 11 يونيو,AASB30672,فرشاة تنظيف مرحاض أسود,2.000
فرع 11 يونيو,AASB30673,فرشاة تنظيف مرحاض ذهبي,7.000
فرع 11 يونيو,AASB30705,سلة قمامة كروم,3.000
فرع 11 يونيو,AASB30706,سلة قمامة كروم,1.000
فرع 11 يونيو,AASB30713,مورش صابونية دائري,4.000
فرع 11 يونيو,AASB30737,رف فردي 50 سم,6.000
فرع 11 يونيو,AASB30756,مجفف يد أسود,2.000
فرع 11 يونيو,AASB30757,مجفف يد ذهبي,3.000
فرع 11 يونيو,AASB30763,فرشاة تنظيف مرحاض رصاصي,4.000
فرع 11 يونيو,AASB30765,فرشاة تنظيف مرحاض أبيض,3.000
فرع 11 يونيو,AASB30778,حاملة ورق ناعم أسود,-3.000
فرع 11 يونيو,AASB30779,حاملة فرشاة أسنان أسود,-2.000
فرع 11 يونيو,AASB30780,صابونية أسود,-3.000
فرع 11 يونيو,AASB30782,حاملة ورق ناعم كروم,3.000
فرع 11 يونيو,AASB30783,موزع صابون سائل كروم,2.000
فرع 11 يونيو,AASB30784,موزع صابون سائل كروم,3.000
فرع 11 يونيو,AASB30791,رف زاوية  اسود,1.000
فرع 11 يونيو,AASB30793,سلة قمامة,2.000
فرع 11 يونيو,AASB30795,سلة قمامة حمام,1.000
فرع 11 يونيو,AASB30798,مسند لكبار السن 45 كروم,2.000
فرع 11 يونيو,AASB30799,مسند لكبار السن 60 كروم,3.000
فرع 11 يونيو,AASB30807,حامل ورق منظف كلينكس,3.000
فرع 11 يونيو,AASB30831,سلة قمامة كروم معلقة 5 لتر,2.000
فرع 11 يونيو,AASB30832,سلة قمامة كروم  8 لتر,2.000
فرع 11 يونيو,AASB30833,سلة قمامة ذهبي   8 لتر,1.000
فرع 11 يونيو,AASB30834,سلة قمامة أسود  8 لتر,3.000
فرع 11 يونيو,AASB30856,سلة قمامة ذهبي معلقة 5 لتر,2.000
فرع 11 يونيو,AASB30871,رف زاوية زوجي اسود مطفي,3.000
فرع 11 يونيو,AASB30916,رف زاوية زوجي كروم,7.000
فرع 11 يونيو,AASB30992,حاملة فوط كروم,-2.000
فرع 11 يونيو,AASB3105,رف زجاجي كروم,5.000
فرع 11 يونيو,AASB31073,حاملة فرشاة أسنان كروم,1.000
فرع 11 يونيو,AASB31074,صابونية كروم,1.000
فرع 11 يونيو,AASB31085,حاملة ورق ناعم كروم,2.000
فرع 11 يونيو,AASB31086,حاملة فرشاة أسنان كروم,4.000
فرع 11 يونيو,AASB31087,صابونية كروم,4.000
فرع 11 يونيو,AASB31104,حاملة فوط كروم,6.000
فرع 11 يونيو,AASB31105,صابونية كروم,6.000
فرع 11 يونيو,AASB31106,موزع صابون كروم,4.000
فرع 11 يونيو,AASB31120,رف زاوية زوجي كروم,5.000
فرع 11 يونيو,AASB31122,رف زاوية زوجي كروم,1.000
فرع 11 يونيو,AASB31123,رف زاوية زوجي كروم,3.000
فرع 11 يونيو,AASB31129,رف زاوية زوجي ذهبي,4.000
فرع 11 يونيو,AASB31130,مجفف يد أسود,3.000
فرع 11 يونيو,AASB31132,مجفف يد أبيض,3.000
فرع 11 يونيو,AB10072,خزانة حمام أبيض,3.000
فرع 11 يونيو,AB10076,خزانة حمام أبيض,5.000
فرع 11 يونيو,AB10104,خزانة حمام أبيض,-1.000
فرع 11 يونيو,AB10107,خزانة حمام أبيض,1.000
فرع 11 يونيو,AB10110,خزانة حمام أبيض,-2.000
فرع 11 يونيو,AB10113,خزانة حمام أبيض,-5.000
فرع 11 يونيو,AB10116,خزانة حمام أبيض,1.000
فرع 11 يونيو,AB10144,خزانة حمام خشبي,1.000
فرع 11 يونيو,AB10145,خزانة حمام أبيض,1.000
فرع 11 يونيو,AB10360,خزانة حمام أبيض,-1.000
فرع 11 يونيو,AB10409,خزانة حمام 120*24*20,2.000
فرع 11 يونيو,AB10412,خزانة حمام 120*24*20,1.000
فرع 11 يونيو,AB10417,خزانة حمام 120*24*20,1.000
فرع 11 يونيو,AB10420,خزانة حمام 120*24*20,1.000
فرع 11 يونيو,AB10562,خزانة حمام أبيض,1.000
فرع 11 يونيو,AB10742,خزانة حمام أبيض,2.000
فرع 11 يونيو,AB10744,خزانة حمام أبيض,3.000
فرع 11 يونيو,AB10804,خزانة حمام أبيض,2.000
فرع 11 يونيو,AB10812,خزانة حمام بيج,1.000
فرع 11 يونيو,AB10826,خزانة حمام 80*24*12,3.000
فرع 11 يونيو,AB10838,خزانة حمام أبيض,1.000
فرع 11 يونيو,AB10839,خزانة حمام أبيض,1.000
فرع 11 يونيو,AB10840,خزانة حمام أبيض,2.000
فرع 11 يونيو,AB10841,خزانة حمام أبيض,-1.000
فرع 11 يونيو,AB10844,خزانة حمام أبيض,2.000
فرع 11 يونيو,AB10845,خزانة حمام أبيض,2.000
فرع 11 يونيو,AB10854,خزانة حمام أبيض,1.000
فرع 11 يونيو,AB11024,خزانة حمام مقبض أبيض 120*23*20,3.000
فرع 11 يونيو,AB11025,خزانة حمام مقبض أسود 120*23*20,2.000
فرع 11 يونيو,ACE20210,فلفلة سخانة,9.000
فرع 11 يونيو,ACE20242,مثبت سخانة,98.000
فرع 11 يونيو,ADOU50186,سيفون حوض قدم,8.000
فرع 11 يونيو,ADOU50187,سيفون حوض قدم,4.000
فرع 11 يونيو,ADOU50190,سيفون حوض قدم,1.000
فرع 11 يونيو,ADOU50220,لصقة عازلة للماء 3.5 م*2.8 سم,1.000
فرع 11 يونيو,ADOU50323,كروم M3/4'' M1/2''  M1/2'' محول مسطرة دوش,2.000
فرع 11 يونيو,ADOU50727,كرسي دوش بالظهر,2.000
فرع 11 يونيو,ADOU50728,كرسي دوش بدون ظهر,1.000
فرع 11 يونيو,AECU50001,غسالة أكواب حوض المطبخ,2.000
فرع 11 يونيو,AECU50037,رقبة خلاط حوض مطبخ,3.000
فرع 11 يونيو,AECU50056,صابونية حوض مطبخ كروم,3.000
فرع 11 يونيو,AECU50057,صابونية حوض مطبخ أسود,8.000
فرع 11 يونيو,AECU50058,رقبة خلاط حوض مطبخ أسود,5.000
فرع 11 يونيو,AECU50097,سيفون حوض المطبخ معا راجع,-4.000
فرع 11 يونيو,AECU50099,سيفون حوض المطبخ رأس كبير,6.000
فرع 11 يونيو,AECU50134,سيفون حوض المطبخ,-1.000
فرع 11 يونيو,AECU50151,سلة تجفيف لحوض المطبخ رصاصي,1.000
فرع 11 يونيو,AECU50180,سيفون حوض المطبخ رأس صغير,6.000
فرع 11 يونيو,AECU50198,سيفون حوض المطبخ,2.000
فرع 11 يونيو,AECU50200,سيفون حوض المطبخ,-1.000
