id,composite_code,component_code,component_name,qty
d97a886a-4fca-6f5e-7a6d-e7feed1a1fd3,AM0132,VP20102,حوض وجه فوق الرخام أبيض,1.000
28ac49e1-d858-dc63-3ed3-10308a0dce1b,AM0970,VS10972,حوض وجه معلق -60 سم,1.000
4e2c7cc4-228c-def7-d083-3e5c21a42950,EG40179,EG40370,رف حوض وجه برسلين 80 سم,1.000
90f533c8-e371-dd73-79b2-54e9d9a89f7b,AM0564,AM0859,دولاب حمام -80 سم,1.000
3896f880-ca54-eaed-106a-b1dec3d3158c,ML30838,ML30079,مرايا حمام مع إضاءة لد 90*60 سم,1.000
a6938123-934a-0cc6-085d-99e1b072df50,LG40734,EG40940,رف كواريون كوارتز 100سم,1.000
3b2e93f0-7a58-9b27-75c9-ac0555785eb9,LG40447,EG40446,رف حوض وجه برسلين 65 سم,1.000
b08a0437-9a58-ccd3-3a48-d08a825949a6,LG40383,LG40328,حوض وجه برسلين 80 سم,1.000
cd31a793-542d-6ecb-684c-e1d15fb46fd1,AM0337,AM0334,حوض وجه  دولاب حمام -80 سم,1.000
8cdc3d5c-9368-a342-67ad-774be30a2c10,AM0799,ML30802,مرايا حمام مع إضاءة لد 90*70 سم,1.000
bdcf26af-6f36-2f63-203a-e5a317bf2377,AB10573,AB10744,خزانة حمام أبيض,1.000
8555f7a7-7b2c-30b6-efb9-b618d0004380,LG40893,EG40891,رف رخامي كوارتز 80سم,1.000
f382f9e8-a883-5b7b-5476-eb2c9820ac7d,LG40382,EG40354,رف حوض وجه برسلين 80 سم,1.000
278fb530-8d2a-0329-ac4e-62f8bc328a2c,AB10804,AB10113,خزانة حمام أبيض,1.000
8b5f84e4-cc51-1ea7-f860-f44fbb45758b,AM0344,AM0334,حوض وجه  دولاب حمام -80 سم,1.000
17d04049-9563-0b13-bd31-81bb27747a50,AM40575,AM40560,مراية دولاب حمام -80 سم,1
c8e23d1d-e968-d97b-68a3-03089051ae50,ML30842,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
81ed58fe-87f2-8751-47f9-2ea9483ccc5e,VS10883,VS10219,عمود حوض وجه سداسي أرضي أبيض,1.000
428b1a1e-f400-f8ee-19fb-e58d7e3d346b,LG40378,EG40347,رف حوض وجه برسلين 80 سم,1.000
20627230-96d9-cb8d-178a-b03c1e547285,LG40755,ML30752,مرايا حمام مع إضاءة لد-عرض60*80 سم,1.000
1b9168ad-a53e-957d-3e88-ce8d6577e915,MSB0410,AM0407,حوض وجه مع دولاب حمام -80 سم,1.000
46868fd6-0227-e009-08fa-74f9f8984bda,ML30948,ML30109,مرايا حمام مع إضاءة لد 80*60 سم,1.000
1944aed8-26be-a4d3-bddd-c9ce1c23707b,ML30844,ML30079,مرايا حمام مع إضاءة لد 90*60 سم,1.000
b38f7750-e8cb-98f0-8939-fe823bd227bf,AB10567,AB10558,خزانة حمام أبيض,1
deb5ca6d-dd8f-db0f-3d91-be3b37bb9a80,AM0849,AM0839,حوض وجه مع دولاب حمام -80 سم,1.000
9f20ff2e-4f39-7985-c937-c0bf4245dbcd,LG40734,ML30941,مرايا حمام مع إضاءة لد 60*100 سم عرض,1.000
3f685544-017b-e645-d24c-4e4229656643,LG40766,EG40768,رف حوض وجه برسلين 80 سم,1.000
e9519911-f753-25be-6045-485fa1151367,AM0566,AM40565,مراية دولاب حمام -90 سم,1.000
99f5ad29-55dd-18e8-2922-5deb9805e95b,LG40860,ML30865,مرايا حمام مع إضاءة لد-عرض60*100 سم,1.000
0b01bde0-9029-bfd9-a699-bc926c43e705,ML30814,ML30808,مرايا حمام مع إضاءة لد80*60 سم,1.000
9eb6bf7d-541d-7637-37d1-61359dd84f60,AM0130,AM0120,دولاب حمام 100 سم أبيض,1.000
546ae263-9d49-a715-94d5-64bceb57654a,AM0848,AB10841,خزانة حمام أبيض,1.000
102eeb28-0956-b34a-ba9f-7a2a408ebdf6,VS10400,VS10462,حوض وجه معلق 80 سم,1.000
6de745c9-8171-1da8-c3b1-3f43c53dd4e2,AM0563,AM0407,حوض وجه مع دولاب حمام -80 سم,1.000
2ac8b6c2-9b0b-e480-d0ec-e173e53ece9e,AB10844,AB10825,خزانة حمام أبيض,1.000
bfb994af-421b-42ae-053c-683e2628a4b0,AM0693,AM0692,دولاب حمام مع حوض وجه 60 سم,1.000
