id,transfer_no,transfer_date,from_location_name,to_location_name,status,notes,old_id
14b491af-7407-6877-33e2-79acfdfa91fb,تحويل :0074 -ين,2025-08-03,مخزن جنزور,فرع 11 يونيو,posted,old_id=310000107 | AM0696:بدون حوض,310000107
be8838b0-b5cd-77d1-3793-8965fd2b7df1,تحويل :0000 -س.ر.ج,2024-09-16,فرع السراج,فرع 11 يونيو,posted,old_id=210000025,210000025
f1264f2d-fcbf-0df3-6264-904dd7c174fd,تحويل :0000 -س.ر.ج,2024-09-16,مخزن جنزور,فرع السراج,posted,old_id=210000023,210000023
bb6cea8a-72b1-fe2a-6df9-8379aa5d42c0,تحويل :0000 -س.ر.ج,2024-09-11,فرع السراج,فرع 11 يونيو,posted,old_id=210000022,210000022
79613731-0c92-edbb-7350-2eea238e6b79,تحويل :0000 -س.ر.ج,2024-09-11,فرع 11 يونيو,فرع السراج,posted,old_id=210000021,210000021
6899ef99-679b-d158-e8db-d1a74de99294,تحويل :0000 -س.ر.ج,2024-09-08,فرع 11 يونيو,فرع السراج,posted,old_id=210000019,210000019
711e39e9-eb87-010f-c877-18e41e076f54,تحويل :0000 -س.ر.ج,2024-09-07,فرع 11 يونيو,فرع السراج,posted,old_id=210000018,210000018
693e2f9b-42b4-8fd5-9a39-b0f09b958e1a,تحويل :0000 -س.ر.ج,2024-09-07,فرع السراج,فرع 11 يونيو,posted,old_id=210000017,210000017
ec746e65-6aa4-3d72-0e9d-ee9ecee1ca9f,تحويل :0000 -س.ر.ج,2024-09-07,فرع 11 يونيو,فرع السراج,posted,old_id=210000016,210000016
9e2d9b42-8400-c1ec-cd71-2c30fecb9aff,تحويل :0000 -س.ر.ج,2024-09-04,مخزن جنزور,فرع السراج,posted,old_id=210000015,210000015
9f513352-43e8-4aff-9144-cf1ae3323d7c,تحويل :0000 -س.ر.ج,2024-09-01,فرع السراج,فرع 11 يونيو,posted,old_id=210000014,210000014
364db14e-33fe-319f-468f-0e5d91c5943a,تحويل :0000 -س.ر.ج,2024-08-29,فرع السراج,فرع 11 يونيو,posted,old_id=210000013,210000013
083d1494-cfc9-5bef-75e2-263c380c4808,تحويل :0000 -س.ر.ج,2024-08-25,فرع السراج,فرع 11 يونيو,posted,old_id=210000012,210000012
e2e6ffc9-1ebe-d8a6-72e4-63e39f9a2be4,TR0002,2024-08-11,فرع السراج,فرع 11 يونيو,posted,old_id=210000011,210000011
5fc95ce6-6c2b-7010-88a5-976deaf00174,TR0000,2024-07-29,فرع السراج,فرع 11 يونيو,posted,old_id=210000006 | مسطرة دوش لاد مع خلاط ذهبي,210000006
b2e31587-10eb-b4b9-1528-03669e966e6c,تحويل :0000 -س.ر.ج,2024-09-19,مخزن جنزور,فرع السراج,posted,old_id=210000026,210000026
b461a4b6-dd41-891d-15de-e74893d6c01d,تحويل :0000 -س.ر.ج,2024-09-21,فرع السراج,فرع 11 يونيو,posted,old_id=210000027,210000027
4fefcf40-5019-4c3c-a230-4ce2841e0b25,تحويل :0000 -س.ر.ج,2024-09-22,مخزن جنزور,فرع السراج,posted,old_id=210000028,210000028
e6e66e98-c818-5c5e-52d9-c3c3999dd68e,تحويل :0000 -س.ر.ج,2024-09-22,مخزن جنزور,فرع السراج,posted,old_id=210000029,210000029
9f8e82e2-2ae0-3252-5b52-62d43add8980,تحويل :0000 -س.ر.ج,2024-09-23,فرع السراج,فرع 11 يونيو,posted,old_id=210000031,210000031
be5172ac-8d62-0603-9985-99af7108d950,تحويل :0001 -س.ر.ج,2024-09-24,فرع السراج,فرع 11 يونيو,posted,old_id=210000032,210000032
1fe24115-574b-c55c-ff37-dc7a8eca8410,تحويل :0001 -س.ر.ج,2024-09-26,فرع 11 يونيو,فرع السراج,posted,old_id=210000033,210000033
ad9346b6-ba80-6556-b0a0-fdbda52c87bf,تحويل :0001 -س.ر.ج,2024-09-28,فرع السراج,فرع 11 يونيو,posted,old_id=210000034,210000034
b96bfdca-51ff-c6eb-dcb8-9d9c78cfed90,تحويل :0001 -س.ر.ج,2024-09-29,فرع السراج,فرع 11 يونيو,posted,old_id=210000035,210000035
c0e83db5-4939-1329-e2e0-ba67412d1b16,تحويل :0001 -س.ر.ج,2024-10-01,فرع 11 يونيو,فرع السراج,posted,old_id=210000036,210000036
441d2399-b168-0b8d-b283-df01af0683fd,تحويل :0001 -س.ر.ج,2024-10-01,فرع السراج,فرع 11 يونيو,posted,old_id=210000037,210000037
faf24908-5000-c569-9891-945de1610b19,تحويل :0001 -س.ر.ج,2024-10-01,فرع السراج,فرع 11 يونيو,posted,old_id=210000038,210000038
f78f8a24-914d-c221-2e6a-1ab9aefc68aa,تحويل :0001 -س.ر.ج,2024-10-01,فرع 11 يونيو,فرع السراج,posted,old_id=210000040,210000040
8cd0bf01-f577-de79-60ed-6a634e7b443c,تحويل :0001 -س.ر.ج,2024-10-07,مخزن جنزور,فرع السراج,posted,old_id=210000041,210000041
e83ee3df-b70d-d5d7-e2c3-87af96033fc6,تحويل :0167 -س.ر.ج,2026-05-07,فرع السراج,فرع 11 يونيو,posted,old_id=210000245,210000245
30b1be0d-d380-be9b-e344-106402ee9537,تحويل :0075 -ين,2025-08-16,فرع 11 يونيو,فرع السراج,posted,old_id=310000108,310000108
e5757168-88ab-9493-1b79-01b87d38057e,تحويل :0000 -ين,2024-10-15,فرع 11 يونيو,فرع السراج,posted,old_id=310000008 | TOREMA,310000008
01760e45-13a3-787c-f661-f21e85bf9a07,تحويل :0000 -ين,2024-10-15,فرع 11 يونيو,فرع السراج,posted,old_id=310000007 | شيزا,310000007
09b79d27-4920-067b-684e-551a58a32b71,تحويل :0000 -ين,2024-10-27,فرع 11 يونيو,فرع السراج,posted,old_id=310000014 | خرج شطاف مربع بالعلاقة أسود,310000014
c87dfc02-6b09-44f0-9c6b-366ea9842486,تحويل :0000 -ين,2024-10-21,فرع 11 يونيو,فرع السراج,posted,old_id=310000011 | مخرج شطاف كروم,310000011
5eb9636f-7e0a-ba36-a10a-b1c22584cf68,تحويل :0000 -س.ر.ج,2024-09-16,فرع السراج,فرع 11 يونيو,posted,old_id=210000024,210000024
