Code article,Désignation,Marque,Modèle,Detail - القطاعي - LYD - Lybia,P.A HT
PE30377,اسمنت ابيض 1كغ,سانيتاري ويرز,اسمنت ابيض 1كغ,2.0,0.88
PE30376,جبس العز 1كغ,سرسانيت,جبس العز 1كغ,2.0,0.319
FAB0175,طلاء وجه خلاط شطافة,الشركة العالمية للتصدير و الإستيراد,,200.0,120.0
FAB0177,طلاء وجه زر بتارية,الشركة العالمية للتصدير و الإستيراد,,200.0,145.0
FAB0176,طلاء وجه خلاط دوش,الشركة العالمية للتصدير و الإستيراد,,200.0,130.0
RA30090,ورق سنفرة قماش رقم 220,الشركة العالمية للتصدير و الإستيراد,التاج,5.0,2.514
ART0226,سرفنتينة 15 سم * 15 سم كروم,دانيال,,85.0,72.0
PA30557,فيتي 3.5 * 40 (100غ),الشركة العالمية للتصدير و الإستيراد,,4.0,1.389
AECU50830,سلة تجفيف لحوض المطبخ رصاصي,بن أمور,مجموعة بن عمر,35.0,10.0
ML30836,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,سانيتاري ويرز,4005 دولاب,170.0,105.0
LG40754,حوض وجه كوارتز مع رف مع مراية 80 سم,سانيتاري واير,D1,1250.0,730.0
ARSB80471,"مسكر شطافة دبل ""1/2"" * ""1/2 كروم",فينوس,RACHEL P,80.0,48.0
PE30373,لصقة مع مجفف 200 مل,بولبو,PA260,10.0,6.25
AM0112,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,9212,1000.0,625.0
AB10113,خزانة حمام أبيض,سانيتاري ويرز,9212,400.0,255.0
ML30114,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,9212,250.0,100.0
AM0736,دولاب حمام مع حوض وجه 60 سم,سانيتاري ويرز,41,1200.0,740.0
AB10741,خزانة حمام أبيض,سانيتاري ويرز,41,430.0,200.0
ART0746,مرايا حمام مع إضاءة لد,سانيتاري ويرز,41,150.0,100.0
ARSB80498,سماعة دوش مع طوبو كروم,ليسو,,85.0,52.0
AM0182,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,ML-02-80,670.0,460.0
LG40388,حوض وجه برسلين مع رف 65 سم,رويال,YB036_2,600.0,450.0
LG40389,حوض وجه برسلين مع رف 60 سم,رويال,YB036_4,600.0,460.0
VS10454,حوض وجه معلق 100 سم,أوركا,NEW ROSE,700.0,310.0
PE30159,محشة,الشركة العالمية للتصدير و الإستيراد,,25.0,16.0
PA30481,بينسة رقم 7,اي بي سي,AC18796,21.0,12.75
PA30548,برشام 4.8 * 12,الشركة العالمية للتصدير و الإستيراد,,5.0,2.0
RA20084,طوبو3''(1) متر,الرطيل,جي أم GM,20.0,12.5
AASB30092,حاملة ورق ناعم أسود,سانيتاري ويرز,MILET,100.0,65.0
RO10019,مسكر زاوية ''1/2 * ''1/2 كروم,فينوس,S-5,40.0,21.0
AM0078,دولاب حمام -90 سم,سانيتاري ويرز,9211,1000.0,600.0
ML30079,مرايا حمام مع إضاءة لد 90*60 سم,سانيتاري ويرز,9211,450.0,395.0
LG40100,حوض وجه برسلين مشطوف مع رف 60,سانيتاري ويرز,23126C,650.0,440.0
ML30835,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,سانيتاري ويرز,4007 دولاب,170.0,105.0
PE30452,غيار روله قطني 10سم,الشركة العالمية للتصدير و الإستيراد,2100,8.0,4.5
FAB0100,تصنيع قاعدة برسلين,الشركة العالمية للتصدير و الإستيراد,,1100.0,650.0
ARSB80302,شطاف ظغط مربع كبيرمع طوبو كروم,توريما,1372-03330-008,210.0,175.0
ML30099,مرايا حمام مع إضاءة لد سداسية 60*80 سم,سانيتاري ويرز,1443,160.0,95.0
ARSB80300,"مسكر شطافة ""1/2"" * ""1/2 كروم",بضائع أوروبية,5630,35.0,29.5
ALVM50505,مطول سيفون حوض الوجه 40سم كروم,سانيتاري ويرز,ORTA,30.0,16.5
PE30274,لصقة مع مجفف 300 مل,أويستار,,20.0,15.25
PLSA0664,وردة كروم,سانيتاري ويرز,SASSI,15.0,9.0
AASB30780,صابونية أسود,بن أمور,50-10-49,50.0,15.0
PS20782,علاقة مناشف أسود,بن أمور,50-10-49,100.0,25.0
AASB30992,حاملة فوط كروم,بن أمور,50-10-49,50.0,15.0
LG40331,حوض وجه برسلين 65 سم,رويال,YB036_7,600.0,400.0
EG40359,رف حوض وجه برسلين 65 سم,رويال,YB036_7,150.0,60.0
AM0416,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,8205,900.0,600.0
AB10417,خزانة حمام 120*24*20,سانيتاري ويرز,8205,250.0,100.0
ML30418,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,8205,150.0,80.0
AM0838,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,9622,1000.0,700.0
AB10839,خزانة حمام أبيض,سانيتاري ويرز,9622,430.0,270.0
MD20003,خلاط دوش كروم,فينوس,RACHEL A3,340.0,190.0
MDE50046,خلاط دوش مدفون كروم,توريما,8Q01011-090,400.0,295.0
VS10186,حوض وجه معلق -100 سم,تركواز سيراستايل,MONA,560.0,413.0
AECU50203,سيفون حوض المطبخ,سي أر سمارت,,30.0,14.5
