Code article,Désignation,Marque,Modèle,Couleur,Nom fournisseur,Famille,سعر الشراء,Detail - القطاعي - LYD - Lybia,Gros -  الجملة - LYD - Lybia,النوع, مخزن 11 يونيو,مخزن السراج,جنزور
PE30377,اسمنت ابيض 1كغ,سانيتاري ويرز,اسمنت ابيض 1كغ,أبيض,مجموعة الخليج,استوك الجدران,0.88,2,2,,0,-264,0
PE30376,جبس العز 1كغ,سرسانيت,جبس العز 1كغ,أبيض,مجموعة الخليج,استوك الجدران,0.319,2,1.5,,0,-261,0
99999,ملحقات مواد صحية,,,,,اكسسوارات,0,0,0,,-15,-2,0
FAB0175,طلاء وجه خلاط شطافة,الشركة العالمية للتصدير و الإستيراد,,,مصنع برسلين,التصنيع,120,200,190,,-6,-4,0
FAB0177,طلاء وجه زر بتارية,الشركة العالمية للتصدير و الإستيراد,,,عبد المنعم ركن التشطيب,التصنيع,145,200,190,,-4,-5,0
FAB0176,طلاء وجه خلاط دوش,الشركة العالمية للتصدير و الإستيراد,,,مصنع برسلين,التصنيع,130,200,190,,-4,-4,0
RA30090,ورق سنفرة قماش رقم 220,الشركة العالمية للتصدير و الإستيراد,التاج,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),ورق الصنفرة,2.514,5,5,,0,-7.5,0
ART0226,سرفنتينة 15 سم * 15 سم كروم ,دانيال,,كروم,شركة الركن الجديد,مجرى,72,85,70,مربع,0,-5,0
PA30557,فيتي 3.5 * 40 (100غ),الشركة العالمية للتصدير و الإستيراد,,أسود,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),برغي,1.389,4,2.5,,0,-5,0
ARSB80640,"مسكر شطافة ""1/2"" * ""1/2 كروم",بن أمور,,كروم,مصنع خلاطات و أكسسوارات الصين,مخرج شطاف,13,30,25,دائري,-12,7,0
AECU50830,سلة تجفيف لحوض المطبخ رصاصي,بن أمور,مجموعة بن عمر,رصاصي,South Villa,ملحقات أحواض المطابخ,10,35,25,,-5,0,0
PS20782,علاقة مناشف أسود,بن أمور,50-10-49,أسود,مصنع خلاطات و أكسسوارات الصين,علاقة مناشف,25,100,100,دائري,-5,0,0
RA20084, طوبو3''(1) متر,الرطيل,جي أم GM,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مواسير - طوبو,12.5,20,17,,0,-4,0
ML30835,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,سانيتاري ويرز,4007 دولاب,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,105,170,140,مستطيل,-2,-2,0
ML30836,مرايا حمام ضد البخار مع إضاءة لد 60*80 سم,سانيتاري ويرز,4005 دولاب,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,105,170,140,مستطيل,0,-4,0
LG40754, حوض وجه كوارتز مع رف مع مراية 80 سم ,سانيتاري واير,D1,أبيض,شركة النخبة الفريدة لاستيراد مواد البناء,حوض وجه برسلين,730,1250,1250,معلق,0,-4,0
ARSB80471,"مسكر شطافة دبل ""1/2"" * ""1/2 كروم",فينوس,RACHEL P,كروم,شركة لمسات البناء,مخرج شطاف,48,80,65,مربع,0,-3,0
PE30373,لصقة مع مجفف 200 مل,بولبو,PA260,,مجموعة الخليج,المواد اللاصقة و العازلة,6.25,10,8,,0,-3,0
AECU50097, سيفون حوض المطبخ معا راجع ,سي أر سمارت,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),ملحقات أحواض المطابخ,19.5,40,30,فردي,-4,1,0
AM0112,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,9212,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,625,1000,900,بي في سي,0,-3,0
AB10113,خزانة حمام أبيض ,سانيتاري ويرز,9212,أبيض,دار الخزف للمواد الصحية (11 يونيو),خزانة حمام,255,400,320,بي في سي,0,-3,0
ML30114,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,9212,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,100,250,200,لاد,0,-3,0
ML30079,مرايا حمام مع إضاءة لد 90*60 سم,سانيتاري ويرز,9211,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,395,450,450,لاد,0,-3,0
ARSB80498,سماعة دوش مع طوبو كروم,ليسو,,كروم,دار الخزف للمواد الصحية (11 يونيو),سماعة دوش,52,85,70,مربع,-3,0,0
AM0736,دولاب حمام مع حوض وجه 60 سم,سانيتاري ويرز,041,أبيض,شركة النخبة الفريدة لاستيراد مواد البناء,دولاب حمام,740,1200,1200,,0,-3,0
AB10741,خزانة حمام أبيض ,سانيتاري ويرز,041,أبيض,شركة النخبة الفريدة لاستيراد مواد البناء,خزانة حمام,200,430,420,بي في سي,0,-3,0
ART0746,مرايا حمام مع إضاءة لد ,سانيتاري ويرز,041,,شركة النخبة الفريدة لاستيراد مواد البناء,مراية مضيئة,100,150,140,لاد,0,-3,0
AASB30780,صابونية أسود,بن أمور,50-10-49,أسود,مصنع خلاطات و أكسسوارات الصين,اكسسوارات,15,50,50,دائري,-3,0,0
AM0182,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,ML-02-80,أبيض,XUCHANG MINGLAI TECHNOLOGY,دولاب حمام,460,670,590,بي في سي,1,-3,0
VS10200,حوض وجه معلق -80 سم,تركواز سيراستايل,KAPADOKYA,أبيض,شركة الصداقة,حوض وجه معلق,533.5,740,460,مربع,-4,2,0
ARSB80302,شطاف ظغط مربع كبيرمع طوبو كروم,توريما,1372-03330-008,كروم,  شركة أجياد ليبيا ,شطاف,175,210,180,مربع,-2,0,0
LG40388, حوض وجه برسلين مع رف 65 سم ,رويال,YB036_2,,شركة المتخصص الليبي,حوض وجه برسلين,450,600,590,معلق,0,-2,0
LG40389, حوض وجه برسلين مع رف 60 سم ,رويال,YB036_4,,شركة المتخصص الليبي,حوض وجه برسلين,460,600,590,معلق,0,-2,0
ML30418,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,8205,مرجاني,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,80,150,110,لاد,0,-2,0
VS10454,حوض وجه معلق 100 سم,أوركا,NEW ROSE,أبيض,مصنع أوركا,حوض وجه معلق,310,700,550,,0,-2,0
RA30010,"كوربة 4"" 45°",الرطيل,جي أم GM,أبيض,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),كوع - كوربة,13.344,22,17,,0,-2,0
PE30159,محشة,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),منجل,16,25,21,,0,-2,0
PE30194,لصقة طلاء 27 مم,الشركة العالمية للتصدير و الإستيراد,2200,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),التغطية والحماية,1.15,2.5,1.7,,0,-2,0
PA30481,بينسة رقم 7,اي بي سي,AC18796,أَصْفَرُ,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مفك البراغي يدوي,12.75,21,17,,0,-2,0
PA30548,برشام 4.8  * 12,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),برشام,2,5,3,,0,-2,0
AASB30092,حاملة ورق ناعم أسود,سانيتاري ويرز,MILET,أسود,نوكسي تركيا,اكسسوارات,65,100,90,مربع,0,-2,0
RO10019,مسكر زاوية  ''1/2 * ''1/2 كروم,فينوس,S-5,كروم,شركة لمسات البناء,حنفية,21,40,30,دائري,0,-2,0
AM0078, دولاب حمام -90 سم,سانيتاري ويرز,9211,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,600,1000,900,بي في سي,0,-2,0
ML30099,مرايا حمام مع إضاءة لد سداسية 60*80 سم,سانيتاري ويرز,1443,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,95,160,140,لاد,-2,0,0
FAB0100,تصنيع قاعدة برسلين,الشركة العالمية للتصدير و الإستيراد,,,مصنع برسلين,التصنيع,650,1100,1100,,-1,-1,0
LG40100, حوض وجه برسلين مشطوف مع رف 60,سانيتاري ويرز,23126C,أبيض,دار الخزف للمواد الصحية (11 يونيو),حوض وجه برسلين,440,650,600,معلق,0,-2,0
ARSB80300,"مسكر شطافة ""1/2"" * ""1/2 كروم",بضائع أوروبية,5630,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),مخرج شطاف,29.5,35,30,دائري,-2,0,0
ALVM50505,مطول سيفون حوض الوجه 40سم كروم,سانيتاري ويرز,ORTA,كروم,مجموعة النجار لاستراد مواد البناء,ملحقات أحواض مغاسل,16.5,30,24,دائري,-2,0,0
PE30274,لصقة مع مجفف 300 مل,أويستار,,,محلات الاعتماد (السراج),المواد اللاصقة و العازلة,15.25,20,17,,-2,0,0
FAB0559,تصنيع حوض مع قاعدة برسلين,الشركة العالمية للتصدير و الإستيراد,,,مصنع برسلين,التصنيع,1350,1500,1500,,-2,0,0
PLSA0664,وردة كروم,سانيتاري ويرز,SASSI,كروم,دار الخزف للمواد الصحية (11 يونيو),وصلة,9,15,14,مربع,-2,0,0
AASB30778,حاملة ورق ناعم أسود,بن أمور,50-10-49,أسود,مصنع خلاطات و أكسسوارات الصين,اكسسوارات,20,60,60,دائري,-2,0,0
AASB30779,حاملة فرشاة أسنان أسود,بن أمور,50-10-49,أسود,مصنع خلاطات و أكسسوارات الصين,اكسسوارات,20,60,60,دائري,-2,0,0
ML10025,خلاط حوض وجه  20 سم كروم ,شيزا,NOVA,كروم,  شركة أجياد ليبيا ,خلاط حوض وجه,185,280,180,طويل,-1,0,0
MD20003,خلاط دوش كروم,فينوس,RACHEL A3,كروم,شركة لمسات البناء,خلاط دوش,190,340,240,,0,-1,0
MA20122,خلاط حوض المطبخ سحاب كروم,سانيتاري ويرز,,كروم,تولين للبضائع الأوروبية,خلاط حوض المطبخ سحاب,208,450,260,,-1,0,0
MDE50046,خلاط دوش مدفون كروم ,توريما,8Q01011-090,كروم,شركة الركن الجديد,خلاط دوش مدفون,295,400,300,,0,-1,0
VS10186,حوض وجه معلق -100 سم,تركواز سيراستايل,MONA,أبيض,شركة الصداقة,حوض وجه معلق,413,560,500,مربع,0,-1,0
AECU50203,سيفون حوض المطبخ,سي أر سمارت,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),ملحقات أحواض المطابخ,14.5,30,21,فردي,0,-1,0
VS10221, حوض وجه سداسي معلق أبيض ,ب.أمور,SH-B182-H ,أبيض,South Villa,حوض وجه معلق,150,250,220,معلق,0,-1,0
EL10242,حوض مطبخ ستانلس ستيل منظومة بيانو 304 75*46 أسود,ليسو,,أسود,دار الخزف للمواد الصحية (11 يونيو),حوض مطبخ ستانلس ستيل,465,700,700,فردي,0,-1,0
EG30248,حوض مطبخ جرانيت أبيض محبب 70*50 ,سانيبال,رودا,أبيض,مجموعة الخليج,حوض مطبخ جرانيت,300,450,410,فردي,-1,0,0
ML30282,مرايا حمام مع إضاءة لد دائرية 60سم,سانيتاري ويرز,,مرجاني,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,90,135,120,لاد,0,-1,0
RD30307,حوض قدم خزف مربع 80*80 سم,اديال سانيتار,,أبيض,مجموعة الخليج,بانيو قدم,208.65,330,270,مربع,0,-1,0
LG40331,حوض وجه برسلين 65 سم,رويال,YB036_7,,شركة المتخصص الليبي,حوض وجه برسلين,400,600,540,معلق,1,-2,0
LG40336,حوض وجه برسلين 100 سم,رويال,YB032_6,,شركة المتخصص الليبي,حوض وجه برسلين,310,450,390,معلق,-1,0,0
EG40359,رف حوض وجه برسلين 65 سم,رويال,YB036_7,,شركة المتخصص الليبي,رف حوض وجه برسلين,60,150,110,معلق,1,-2,0
LG40399, حوض وجه برسلين مع رف 80 سم ,رويال,2608,,دار الخزف للمواد الصحية (11 يونيو),حوض وجه برسلين,435,650,640,معلق,0,-1,0
AM0416,حوض وجه مع دولاب حمام -80 سم,سانيتاري ويرز,8205,أبيض,دار الخزف للمواد الصحية (11 يونيو),دولاب حمام,600,900,800,بي في سي,1,-2,0
AB10417,خزانة حمام 120*24*20,سانيتاري ويرز,8205,أبيض,دار الخزف للمواد الصحية (11 يونيو),خزانة حمام,100,250,180,بي في سي,1,-2,0
AM0450,دولاب حمام 100 سم,أوركا,NEW ROSE,بيج,مصنع أوركا,دولاب حمام,1600,2400,2280,,0,-1,0
AM40452,مراية دولاب حمام 100 سم,أوركا,NEW ROSE,بيج,مصنع أوركا,مراية دولاب,700,1000,900,,0,-1,0
MDE50005,خلاط دوش مدفون مع مصب وقصبة وكسكاس برنزي,فرامو,PA211BRO,برنزي,شركة الركن الجديد,خلاط دوش مدفون,1975,2370,2370,,-1,0,0
RA30052,طوبو رش 3/4 40 متر,التوفيق,,بُرْتُقَالِيّ,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),طوبو رش,94,120,105,,0,-1,0
PE30182,رولة طلاء 20 سم / 10,فندر,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),فرشة طلاء,5.25,8,6.5,,0,-1,0
PE30334,رولة طلاء 25 سم / 10,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),فرشة طلاء,5.75,10,7,,0,-1,0
EL50399,لصقة 0.13 مم * 19 مم * 25 متر,الشركة العالمية للتصدير و الإستيراد,SCAPA 2702,أبيض,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),ملحقات الكهرباء,4.75,7.5,6,,0,-1,0
PA30532,موس مرش,الشركة العالمية للتصدير و الإستيراد,,,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),موس فرش والمقص,2.75,5,3.5,,0,-1,0
PA30614,تل رخام 2 مم (1كغ),الشركة العالمية للتصدير و الإستيراد,,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),خيط، حبل,7.75,13,10,,0,-1,0
EL10017,حوض مطبخ ستانلس ستيل   304 81*51 كروم,أسيل,AS 187,كروم,دار الخزف للمواد الصحية (11 يونيو),حوض مطبخ ستانلس ستيل,330,495,490,فردي,0,-1,0
MD20013,خلاط دوش كروم,توريما,8G16211-040,كروم,دار الخزف للمواد الصحية (11 يونيو),خلاط دوش,345,530,420,,-1,0,0
MD20020,خلاط دوش مع سماعة كروم,فرامو,SM202CR,كروم,شركة المضمونة للبناء,خلاط دوش,335,450,408,,-1,0,0
ML10095,خلاط حوض وجه كروم,نابولي,Z-7033N,كروم,برستيج لإستيراد المواد الصحية,خلاط حوض وجه,69.5,120,90,دائري,-1,0,0
AASB30037,مجفف شعر ذهبي,جي اف مارك,889WK,ذهبي,شركة المتخصص الليبي,اكسسوارات,110,170,125,,0,-1,0
AASB30114,رف زاوية زوجي كروم,سانيتاري ويرز,1162-2,كروم,مسوق أكسسوارات الزاوية,اكسسوارات,45,60,45,,-1,0,0
ART0020,شطاف ظغط مع طوبو كروم,فينوس,AHF01,كروم,شركة لمسات البناء,شطاف,76,120,95,مربع,0,-1,0
AECU50150,سلة تجفيف لحوض المطبخ أسود,سانيتاري ويرز,,أسود,شركة أصول,ملحقات أحواض المطابخ,21,40,30,,0,-1,0
AECU50151,سلة تجفيف لحوض المطبخ رصاصي,سانيتاري ويرز,,رصاصي,شركة أصول,ملحقات أحواض المطابخ,21,40,30,,-1,0,0
RD30054,حوض قدم مربع اكريليك 90*90*14,ساناكريل,M303,أبيض,مجموعة الخليج,بانيو قدم,532.056,850,740,مربع,0,-1,0
CD40007,مسطرة دوش زوجية ذهبي,سانيتاري ويرز,10200,ذهبي,  شركة أجياد ليبيا ,مسطرة دوش,200,310,250,دائري,0,-1,0
ML30087,مرايا حمام مع إضاءة لد 50*70 سم,سانيتاري ويرز,GAK77,,دار الخزف للمواد الصحية (11 يونيو),مراية مضيئة,65,140,110,لاد,-1,0,0
CD40050,مسطرة دوش زوجية كروم,سانيتاري ويرز,DOUS,كروم,دار الخزف للمواد الصحية (11 يونيو),مسطرة دوش,120,200,170,مربع,-1,0,0
RO10107,مسكر زاوية  ''1/2 * ''1/2 كروم,فيوري,,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),حنفية,15,20,19,دائري,0,-1,0
FAB0178,طلاء وجه مسكر بي بي ار,الشركة العالمية للتصدير و الإستيراد,,,مصنع برسلين,التصنيع,50,100,90,,0,-1,0
RD30242,حوض قدم اكريليك 80*80 مربع بالجنب بالسيفوني,سانيتاري ويرز,TK 813,أبيض,شركة الصداقة,بانيو قدم,140,250,220,مربع,-1,0,0
ML30753, مرايا حمام مع إضاءة لد مع بخاراطار ذهبي 70سم,KBM,55B,ذهبي,مجموعة الخليج,مراية مضيئة,160,250,200,لاد,-1,0,0
CD40782,مسطرة دوش زوجية اسود,سانيتاري ويرز,NOVA 859154,أسود,مجموعة الجذور للاسواق التجارية,مسطرة دوش,91,160,130,مربع,-1,0,0
PD20785,حاجز دوش6مم اطار كروم 70 سم,سانيتاري ويرز,,شفاف,دار الخزف للمواد الصحية (11 يونيو),حاجز دوش,350,525,450,قدم,-1,0,0
SC10167,بوكس مربع  190*120*90 سم كروم,تركي,,كروم,مجموعة الخليج,بوكس حمام,684.072,1080,900,,0,-1,0
LG40195, حوض وجه برسلين مشطوف مع رف 80 سم ,ليسو,A2080C,,دار الخزف للمواد الصحية (السراج),حوض وجه برسلين,450,750,600,معلق,0,-1,0
ART0200,سيفون حوض المطبخ,سي أر سمارت,MARYPLAST,,دار الخزف للمواد الصحية (السراج),ملحقات أحواض المطابخ,16.5,40,35,فردي,-1,0,0
PE30211,غيار روله صينيه 10سم ,الشركة العالمية للتصدير و الإستيراد,2100,,شركة مشارق العاصمة لمواد البناء والطلاء ,فرشة طلاء,0.55,3,3,,0,-1,0
MD20435,خلاط دوش كروم,تركارت,TERRA,كروم,مجموعة النجار لاستراد مواد البناء,خلاط دوش,202.12,310,250,,-1,0,0
CD40236,مسطرة دوش مع خلاط كروم ,ا بي ام انترناشونال,2001,كروم,شركة البهراء العالمية الحديثة,مسطرة دوش,385,650,600,,-2,1,0
ML30536,مرايا حمام دائرية مع إضاءة لد 80*80 سم,سانيتاري ويرز,114120,,شركة النخبة الفريدة لاستيراد مواد البناء,مراية مضيئة,88,170,140,دائري,-1,0,0
RO10548,مسكر زاوية  ''1/2 * ''1/2 من غير مطول كروم,مونتانا س.ل,MT-6102,كروم,محلات الإعتماد لإستيراد مواد البناء (11 يونيو),حنفية,17.65,30,27,دائري,-1,0,0
ML30298,مرايا حمام مع إضاءة لد 80*60 سم,سانيتاري ويرز,,مرجاني,شركة أركان العمارة,مراية مضيئة,120,200,200,لاد,0,-1,0
RD30581,حوض قدم مستطيل اكريليك 120*80*14,ساناكريل,M309,أبيض,مجموعة الخليج,بانيو قدم,700,900,850,مستطيل,-1,0,0
AM0695,دولاب مع حوض وجه مع مراية حمام 80 سم,بن أمور,203-80,رصاصي,مصنع خلاطات و أكسسوارات الصين,دولاب حمام,800,1300,1200,حائطي,-1,0,0
AM0358,دولاب حمام 80 سم أبيض,سانيتاري ويرز,8112,أبيض,دار الخزف للمواد الصحية (السراج),دولاب حمام,230,500,500,,0,-1,0
AM0359,حوض وجه  دولاب حمام -80 سم,سانيتاري ويرز,8110,أبيض,دار الخزف للمواد الصحية (السراج),دولاب حمام,300,500,500,بي في سي,0,-1,0
